"證券代碼","公司名稱","年月日","調整開盤價","調整收盤價","成交張數","CAPM一年beta","隔日開盤價","後日開盤價","TSE產業別","open_price_daily_change","股價年標準差","Price_MA_20","Price_MA_60","Price_MA_120","Price_MA_252","CV股價離散程度","z_CV_price","上市別","年月","季別","合併.Y.N.","單季.Q..單半年.H.","月份","ROE","ROA","資產總額","權益總額","營業毛利","淨利","GPOA","營業毛利率","自由現金流量","CFOA","折舊","流動資產","流動負債","ACC應計項目","change_GPOA","change_營業毛利率","change_ROA","change_ROE","change_CFOA","change_ACC應計項目","負債總額","負債比率","MA_ROE","sigma_ROE","MA_ROA","sigma_ROA","z_ROA","z_ROE","z_GPOA","z_營業毛利率","z_CFOA","z_ACC","z_change_GPOA","z_change_ROE","z_change_ROA","z_change_營業毛利率","z_change_CFOA","z_change_ACC應計項目","z_sigma_ROE","z_sigma_ROA","z_負債比率","score_profit","score_growth","score_safety","年","時間標籤","total_score"
3293,"鈊象",20220728,360.5,351,1705,0.7062,NA,NA,32,NA,20.2587925014678,341.79175,340.036316666667,340.268316666667,343.524666666666,0.058973327004566,-0.719460713004936,"OTC",202203,1,"Y",1,3,0.131017262940857,0.097031935037996,13610787,10080206,2810787,1320681,0.206511717507592,96.3,-50750,-0.00372866021634164,16373,11866497,3420520,-0.619332592597327,0.0251143986653823,0.00239408764442595,-0.127804432493619,-0.127827328647292,-6.26436381522255,0.0251143986653823,3530581,0.259395801286142,0.123766949513947,0.0321961286147526,0.0936287197821591,0.021270756022216,3.56036216443877,0.536746213482491,4.88510893319561,2.11176832444809,-0.153670228920143,-1.67073440519333,0.0166426214617238,-0.000901887472213179,0.000224993296266971,0.0257458980125009,-0.0376095018314606,0.0166426214617238,-0.0086246443737146,0.893613024171795,-0.946232326767664,2.10184163530636,0.00345745748809028,0.020414648989861,2022,2022-05-15,2.05586814394248
9933,"中鼎",20220728,44.5,44.15,2481,0.4358,NA,NA,20,NA,4.27170168794887,41.9875,43.3708116666668,42.4979883333331,38.3795761904762,0.111301429352648,-0.148065969504238,"TSE",202203,1,"Y",1,3,0.0579532941739831,0.0137124830582051,94242523,22298974,1343492,1292299,0.0142556879552132,5.99,-106928,-0.00113460459881788,236526,67726560,53617819,-0.147196982406763,-0.0320950224656914,0.307860262008734,75.6829904259828,75.6985429576052,-0.633180812358683,-0.0320950224656914,71943549,0.763387340553266,0.021616475092369,0.0250151938238724,0.00553016864128318,0.00576975891363978,0.073587704351033,0.20657773176908,-0.816630431846511,-0.53997777886433,-0.112334663620451,0.627704333158533,0.0123823281999681,4.7058633939161,5.70087808083507,0.0901807769102473,0.0101747713463138,0.0123823281999681,-0.0264136736637715,-0.409889850477109,1.79967877079557,-0.302746961894952,1.75531027990128,-0.454458415551564,2022,2022-05-15,1.59240189296164
3030,"德律",20220728,62.8,61.6,1871,0.6517,NA,NA,31,NA,4.50508069132255,60.8149999999999,61.4242366666667,62.1104041666667,57.8998928571428,0.0778081006546592,-0.513795111238983,"TSE",202203,1,"Y",1,3,0.0877679197522901,0.0682572404772462,8642248,6721089,1114163,589896,0.128920507719751,57.99,-21836,-0.00252665741598714,31161,6159246,1603124,-0.523586108614333,0.00179330132687494,0.0620879120879121,0.757615008156057,0.787310188339228,-2.0794292635942,0.00179330132687494,1921159,0.222298526957338,0.0568630896228123,0.0207906505895573,0.0452250990168565,0.0154263345602449,2.35619113705872,0.341306926284265,2.58398549764663,0.986883004794684,-0.134516643735298,-1.20462377278694,0.0149059369806773,0.0559033832586343,0.0668048131956504,0.0383376828703951,-0.00209759327789129,0.0149059369806773,-0.0368789578532038,0.402146564112649,-1.1483504365616,1.22307894913932,0.0314600266680238,0.26102761010072,2022,2022-05-15,1.28647318940484
2608,"嘉里大榮",20220728,40.85,40.45,358,0.7118,NA,NA,15,NA,3.80640798842932,38.7944449999999,39.4700233333334,40.58039,43.0068480158731,0.0885070207196871,-0.396968656390194,"TSE",202203,1,"Y",1,3,0.026768205010666,0.0132323389538552,23971499,11849842,580259,317199,0.0242062042094239,18.34,95163,0.00396983934963767,318046,3569557,2882736,-0.0153838940151386,47.2399322846022,-0.0685627221940072,-0.084402341640866,-0.0671256486549348,-0.83730150928797,47.2399322846022,12121657,0.5056695453213,0.0272717458014851,0.00292710178102068,0.0132481226931855,0.00173815925202444,0.0534945068991946,0.0656555547381225,-0.521527852430829,-0.177348342745314,-0.0309967483018062,1.26939350474808,3.53265390977071,0.00286604390616341,0.00348864807903598,0.0107783047644935,0.00844267364351379,3.53265390977071,-0.0811315798632229,-0.748913315325161,0.395547751064492,-0.313352731098119,1.1818139149891,0.144832381374631,2022,2022-05-15,1.17448279634037
2395,"研華",20220728,338.5,339.5,373,0.7688,NA,NA,25,NA,17.6749466158154,332.3558,336.369883333333,349.286858333334,357.619789682539,0.049423849366685,-0.823735874545599,"TSE",202203,1,"Y",1,3,0.0737725384944295,0.0430669578579706,61186351,35719389,6157211,2635110,0.100630465771688,38.2,5582217,0.0912330431340807,212912,39339422,22305947,-0.274907111228123,0.0503543677027376,-0.0348660939868619,0.284512983537499,0.302649577289908,-0.158061480105949,0.0503543677027376,25466962,0.416219656570139,0.0561107159015761,0.0126445752497788,0.033968001482936,0.006726321715034,1.30202152849497,0.278063252844461,1.74498738565236,0.405795025782917,1.35951848734893,0.00598908646395745,0.0185222012213303,0.025819077116435,0.0312295297231926,0.0178862543183459,0.0142064698282953,0.0185222012213303,-0.0570588894412702,-0.329451001758809,-0.0918045615453155,0.847399432276614,0.0210309555714882,0.159438150915131,2022,2022-05-15,1.16783068547208
3218,"大學光",20220728,324,329,728,0.7487,NA,NA,22,NA,26.3889499166562,306.325,277.533333333333,272.602358333334,285.178269841269,0.0925349253691184,-0.352986103216423,"OTC",202203,1,"Y",1,3,0.100495583124553,0.0538904173714124,4075938,2185708,512837,219654,0.125820608654989,61.37,423959,0.104015075793596,84949,2020181,1208765,-0.178233084016489,-0.0749092432741708,-0.0377861398557542,0.141621717183128,0.222169823262613,0.0179754051217424,-0.0749092432741708,1890230,0.463753374069969,0.0633221787185805,0.0351324602475104,0.035789922034902,0.0184724668729159,1.75496452445246,0.398821914346132,2.49205175405296,1.08612895573252,1.56319667454392,0.476615161557125,0.00919402227392528,0.020823462653019,0.0204847071653231,0.0172703013332748,0.0157002580090038,0.00919402227392528,-0.00135059288298292,0.658300552034539,0.167174711362751,1.13642477692848,0.0154444622847452,-0.274708223504769,2022,2022-05-15,1.06709516016756
8432,"東生華",20220728,44.45,44.2,446,0.3127,NA,NA,22,NA,2.03584612738037,41.1174999999998,41.0875883333334,41.4106650000005,40.8569964285711,0.0498285803005508,-0.819316430350877,"OTC",202203,1,"N",1,3,0.0177267778115465,0.0166894084166243,1163792,1095687,71404,19423,0.0613546063214045,59.28,13301,0.0114290182438099,1711,909895,68105,-0.721846343676533,0.0436831427307935,-0.0237154150197628,1.12885490262997,1.08063182306816,14.2015415564144,0.0436831427307935,68105,0.0585199073373936,0.0178430320957773,0.0067193581749284,0.0164604115445074,0.00612360499107023,0.198166863991225,0.0247982848520518,0.580182752762898,1.02476089731238,0.0878632230030748,-2.16978927758286,0.0180254058643118,0.0741107177441214,0.094720492679041,0.0202383728478947,0.136057099415812,0.0180254058643118,-0.0717371817756223,-0.380134385336183,-2.04067003742624,0.680926883250749,0.0601962490692488,0.830847201512681,2022,2022-05-15,1.05724029214194
6206,"飛捷",20220728,85.7,86.6,1429,0.6963,NA,NA,25,NA,7.10358306806637,86.3801149999999,79.1841666666668,75.256793333333,71.1248694444445,0.0998748134590948,-0.272838471555755,"TSE",202203,1,"Y",1,3,0.0552600899073139,0.0431261272515181,6156013,4804281,503844,265485,0.081845831059811,33.28,150477,0.0244439054953263,24301,4688148,1268220,-0.551595163947834,0.0107311362105,0.00879054258866319,1.64918404436606,1.71051606598287,70.2533425332511,0.0107311362105,1351732,0.219579133442376,0.039122922690693,0.0143155855022118,0.0308747869061352,0.0110492635682144,1.30449766492336,0.194407421578192,1.18789124960911,0.261330505482872,0.29525188430199,-1.34097675361204,0.0155715231197531,0.113209480808375,0.133847056830117,0.0270951629534212,0.611693314509736,0.0155715231197531,-0.0529193656619613,0.0340718795817134,-1.16316658375771,0.764059246584594,0.152831343556859,0.394004689945988,2022,2022-05-15,0.986233183174901
6146,"耕興",20220728,199.5,203,342,0.3999,NA,NA,31,NA,14.7633127847293,185.525,182.831733333333,183.240325,196.911674603175,0.0749742889266519,-0.544738811713406,"OTC",202203,1,"Y",1,3,0.074001566713027,0.0560724655911533,6669869,5053893,668393,373996,0.100210813735622,54.11,-40082,-0.00600941337828374,111170,3952994,1329025,-0.376738883477322,0.184730700552801,0.112916495269437,0.246935333398342,0.278923779106095,-5.54273459066566,0.184730700552801,1615976,0.242280020792013,0.0525729678681967,0.0167740656055134,0.0409647007444333,0.011935259356682,1.84627945538981,0.279098207562636,1.73254176020577,0.87295570016782,-0.190013405458482,-0.489745793686498,0.0285289898596724,0.0243463472106882,0.0284038483978861,0.0490594382616796,-0.0314860055817818,0.0285289898596724,-0.0468290757707069,0.108576638798486,-1.03948470888231,0.838434585259007,0.0212302680013028,0.32591238195151,2022,2022-05-15,0.976219149030338
2059,"川湖",20220728,452,458,576,0.9016,NA,NA,28,NA,41.053857880974,412.775000000001,424.141666666667,427.2,424.621928571428,0.0966833201928433,-0.307687862120762,"TSE",202203,1,"Y",1,3,0.0673039914776121,0.0544949887507212,16695737,13518277,928463,909834,0.0556107825608417,53.87,-302099,-0.0180943794215254,54572,13226094,1726039,-0.685533259178675,-0.0277594490280466,0.0756789137380192,0.748558544474582,0.794933258247273,-0.162779119413223,-0.0277594490280466,3177460,0.190315647641071,0.0469972463682047,0.0136854985786609,0.0391350788129763,0.0104482354360636,1.78026478741128,0.248832561116657,0.409838102882657,0.865908650397086,-0.382584027171607,-1.99301083021001,0.0127051913567186,0.0563765695742305,0.0661238051974574,0.0412045618210553,0.0141664375712547,0.0127051913567186,-0.0544802536333385,-0.0164695076926546,-1.32260364599894,0.819211817474348,0.0338802928129059,0.464517802441646,2022,2022-05-15,0.944330141504278
