"證券代碼","公司名稱","TSE產業別","年月日","調整開盤價","調整收盤價","成交張數","CAPM一年beta","隔日開盤價","後日開盤價","open_price_daily_change","股價年標準差","Price_MA_20","Price_MA_60","Price_MA_120","Price_MA_252","成交張數_MA_20","CV股價離散程度","z_CV_price","上市別","年月.x","季別","合併.Y.N.","單季.Q..單半年.H.","月份","ROE","ROA","資產總額","權益總額","營業毛利","淨利","GPOA","營業毛利率","自由現金流量","CFOA","折舊","流動資產","流動負債","ACC應計項目","change_GPOA","change_營業毛利率","change_ROA","change_ROE","change_CFOA","change_ACC應計項目","負債總額","負債比率","MA_ROE","sigma_ROE","MA_ROA","sigma_ROA","z_ROA","z_ROE","z_GPOA","z_營業毛利率","z_CFOA","z_ACC","z_change_GPOA","z_change_ROE","z_change_ROA","z_change_營業毛利率","z_change_CFOA","z_change_ACC應計項目","z_sigma_ROE","z_sigma_ROA","z_負債比率","score_profit","score_growth","score_safety","年.x","時間標籤.x","年月.y","單月營收_千元","年.y","月","月營收YoY","月營收MoM","z_月營收YoY","z_月營收MoM","時間標籤.y","total_score"
6589,"台康生技",22,20220822,90.6,98.9,8626,0.7746,NA,NA,NA,15.4063646864356,88.27,86.5066666666665,88.08,101.228571428571,1518.25,0.152193836868543,0.52042678295621,"OTC",202206,2,"Y",1,6,0.0005844311,0.0005173407,12082946,10695871,146458,6251,0.01212105,43.51,24403,0.002019623,45745,9166311,942385,-0.6768367,0.3128046,-0.1416453,-1.02399,-1.019751,-1.004534,0.3128046,1387075,0.1147961,-0.05756554,0.0639382,-0.03382248,0.03456256,-0.4797885,-0.2622057,-0.9383692,0.1980372,-0.3329349,-2.04963,0.06536301,-0.07391137,-0.06773738,-0.03828817,0.02349269,0.06536301,0.4148558,1.598804,-1.878892,0.03906156,-0.01821624,0.04492258,2022,2022-08-14,201607,22945,2016,7,2.4483,0.0851,2.544267,0.1522389,20160810,2.40131367426095
3531,"先益",26,20220822,31.65,31.8,2829,0.3456,NA,NA,NA,1.58132405014377,25.2225,23.1609383333333,22.23428,21.4626257936508,753,0.0736780329372173,-0.517218075628192,"OTC",202206,2,"Y",1,6,0.03624026,0.02236714,2938775,1813784,113207,65732,0.03852183,18.42,20996,0.007144473,25307,2080879,886440,-0.3978297,-0.115298,0.1143376,68.89681,74.37499,-5.183068,-0.115298,1124991,0.3828095,0.01492201,0.01559774,0.009819232,0.009620119,0.3056062,0.1188356,-0.1644027,-0.02035277,-0.2534328,-0.63936,-0.03068164,4.332764,4.140925,0.04272647,0.01830495,-0.03068164,-0.1652396,-0.2238185,-0.3503471,0.1042689,1.700808,-0.2464684,2022,2022-08-14,200901,54029,2009,1,-0.5566,-0.0666,-0.0891554795788178,-0.0116487923362,20090210,2.03007723932823
6443,"元晶",26,20220822,37.45,37.05,44887,1.1727,NA,NA,NA,4.82893007995238,35.1375,34.0870333333333,37.387055,36.0616452380952,26924.8,0.133907647531598,0.278761164080576,"TSE",202203,1,"Y",1,3,0.005094407,0.002643186,9983786,5179994,143991,26389,0.01442248,7.18,678532,0.0679634,138236,3116579,3049990,0.007176336,-1.061809,0.367619,99.71383,101.7536,8.310385,-1.061809,4803792,0.4811594,-0.03801685,0.08579994,-0.01404678,0.03220409,-0.3898477,-0.03230409,-0.812509,-0.5047249,0.9881126,1.378705,-0.06427473,6.321152,7.505494,0.1028075,0.08604225,-0.06427473,0.1241166,1.812366,0.263224,-0.3549963,2.790244,0.7332354,2022,2022-05-15,201311,502119,2013,11,4.4428,-0.0763,0.0073255,-0.1137441,20131210,1.82295625897986
8432,"東生華",22,20220822,46.8,47.4,565,0.313,NA,NA,NA,2.03676458749162,44.0025,41.9934016666667,41.7871741666666,41.2542436507935,362.85,0.0493710320987172,-0.838453205179143,"OTC",202206,2,"N",1,6,0.01544616,0.01381011,1178557,1053725,65519,16276,0.05559256,59.77,55232,0.04686409,1739,927712,124832,-0.6797643,0.05191744,-0.007142857,0.3232337,0.2918772,-0.06057755,0.05191744,124832,0.1059194,0.01060173,0.003854378,0.009319275,0.003520332,-0.001977788,-0.1033837,0.3360435,0.3395686,0.3627398,-2.064429,0.006833069,0.002750739,0.0133545,0.004279783,0.02466463,0.006833069,-0.3061623,-0.6695492,-1.929519,0.4995698,0.01037654,-0.96841,2022,2022-08-14,201109,58667,2011,9,0.2145,0.0279,0.08578406,-0.04239373,20111010,1.53165132629479
4908,"前鼎",27,20220822,37.8,38.4,1204,1.0372,NA,NA,NA,3.38444471437442,34.808965,33.6815816666667,33.0496041666666,30.4455888888889,3547.35,0.111163713296069,-0.0218168755217565,"OTC",202203,1,"N",1,3,0.04495807,0.04025876,1846480,1653474,109313,74337,0.05920075,43.54,421,0.0002280014,5846,1490204,192089,-0.6998554,-0.001795429,0.6637371,7.456325,7.722326,-0.09600443,-0.001795429,193006,0.1045265,0.02250289,0.01744458,0.02037252,0.01558132,1.183914,0.1477789,0.5156288,0.5625881,-0.09108376,-2.062184,0.0146378,0.4861941,0.5703006,0.1652509,0.01473107,0.0146378,-0.0451638,0.414964,-1.789986,0.7301682,0.2502229,-0.4733953,2022,2022-05-15,200901,66767,2009,1,-0.261,-0.0594,-0.018129181633477,-0.00879756121174135,20090210,1.32276258724696
1339,"昭輝",12,20220822,42.5,42.75,278,0.6327,NA,NA,NA,2.84247413402762,41.22874,39.2352016666666,36.6228133333333,34.7552829365079,587.1,0.0817853832241948,-0.41007340002399,"TSE",202206,2,"Y",1,6,0.05506954,0.03849956,5257827,3675789,138711,202424,0.02638181,28.1,72945,0.0138736,91364,1954868,1050280,-0.1546692,0.02876604,0.2308366,56.17284,54.31831,-0.5785066,0.02876604,1582038,0.300892,0.02675494,0.02919369,0.01789042,0.01966981,0.8854884,0.3200574,-0.5203001,0.06390451,-0.1490435,0.5897206,0.001639062,3.16049,3.375046,0.07959663,0.02402161,0.001639062,-0.002085385,0.5105444,-0.8175425,0.001731025,1.328159,-0.1030279,2022,2022-08-14,201008,74161,2010,8,0.0288,-0.0986,-0.1936833,-0.4526402,20100910,1.315995946256
1527,"鑽全",5,20220822,43.95,44.1,423,0.6139,NA,NA,NA,1.46414142375807,42.85,43.8658333333333,43.05375,43.0875007936509,329.1,0.0339806532472131,-1.04184853054443,"TSE",202206,2,"N",1,6,0.04796915,0.0379041,5499853,4345856,301842,208467,0.05488183,26.79,336450,0.06117436,30945,4503719,1123080,-0.6090516,-0.01656258,0.2334254,0.9332005,0.9782659,27.77844,-0.01656258,1153997,0.2098232,0.0347741,0.01776272,0.0207461,0.01188935,0.8640848,0.2441781,0.3152077,0.05250192,0.5847359,-1.707003,-0.008530397,0.04286882,0.05006953,0.08041594,0.0592274,-0.008530397,-0.1392594,-0.05799865,-1.33693,0.6279519,0.04481026,-0.5113959,2022,2022-08-14,200901,191096,2009,1,-0.3637,0.2479,-0.0428057743228765,0.112894567197444,20090210,1.27396553081323
8049,"晶采",26,20220822,26.25,25.8,403,0.4646,NA,NA,NA,1.21444307204943,25.054295,23.893505,23.8662608333333,23.1575531746032,1208.35,0.0524426334204125,-0.797859704769137,"OTC",202206,2,"Y",1,6,0.06956499,0.04789829,2691140,1852958,164893,128901,0.06127255,27.89,324294,0.1205043,10294,1745223,781937,-0.354122,-0.2019335,0.04067164,0.5003718,0.7266088,41.05115,-0.2019335,838182,0.3114598,0.05453192,0.01245036,0.03901405,0.00733603,1.223327,0.4749652,0.5025582,0.06207662,1.505125,-0.4184349,-0.0501183,0.02815995,0.02401677,0.01941234,0.07570577,-0.0501183,-0.2030087,-0.3907241,-0.7572716,0.6977479,0.01943531,-0.4503348,2022,2022-08-14,200901,56889,2009,1,-0.4235,-0.1924,-0.0571744232306282,-0.0614661361496575,20090210,1.19722481296166
6530,"創威",27,20220822,28.9,28,1396,0.9262,NA,NA,NA,1.99679392494469,23.785,21.0471033333333,20.616335,20.7027650793651,1438.65,0.0964505908891821,-0.216261752282899,"OTC",202206,2,"N",1,6,0.03152097,0.02530676,544558,437201,30322,13781,0.05568186,43.1,43317,0.07954525,1863,523748,102762,-0.7696572,-0.1151852,0.09864899,0.2394793,0.3900184,53.46074,-0.1151852,107357,0.1971452,0.02043373,0.008863098,0.01715172,0.007178472,0.4112713,0.06840222,0.3386613,0.1944685,0.8697244,-2.518802,-0.03065634,0.008486901,0.008313168,0.03776128,0.09111256,-0.03065634,-0.2460566,-0.4022373,-1.409236,0.7335549,0.02300351,-0.6858432,2022,2022-08-14,201504,30964,2015,4,-0.138,-0.0618,-0.1465557,-0.05933728,20150510,1.17845062307072
6216,"居易",27,20220822,32,32.2,899,0.7819,NA,NA,NA,2.26727065982154,31.2175,30.4925,29.5141666666666,27.8334797619048,1537.7,0.0814583975563385,-0.414394759292994,"TSE",202206,2,"Y",1,6,0.04960072,0.03930335,2041480,1617658,140634,80237,0.06888826,46.6,105988,0.05191724,1723,1820362,414723,-0.6876952,-0.0686063,-0.07115806,1.50845,1.740394,-12.43073,-0.0686063,423822,0.2076053,0.03087801,0.01637649,0.02461138,0.01249922,0.9143809,0.2616141,0.7258208,0.2249334,0.4411295,-2.104516,-0.02020639,0.08741372,0.08469487,-0.01598005,0.009306807,-0.02020639,-0.1558944,-0.01343365,-1.349579,0.7787325,0.02904579,-0.5063024,2022,2022-08-14,200901,30131,2009,1,-0.6717,-0.4949,-0.116811524550092,-0.181257443809204,20090210,1.17429221777316
