"開始日期","結束日期","期間總報酬","投組最大回落","投組回落開始時間","投組回落結束時間","投組回落持續天數","勝率","投資股票數量","市場期間總報酬","市場最大回落","市場回落開始時間","市場回落結束時間","市場回落持續天數","市場勝率","市場標的數"
2013-04-01,2013-05-15,0.0473913595150076,0.029,2013-04-01,2013-04-12,11,0.77,30,0.0617057411130849,0.029,2013-04-01,2013-04-12,11,1,1
2013-05-15,2013-08-14,0.085059342639421,0.032,2013-08-02,2013-08-08,6,0.8,30,-0.0639947871735104,0.0912,2013-05-20,2013-06-21,32,0,1
2013-08-14,2013-11-14,0.0820421643880017,0.0356,2013-10-30,2013-11-11,12,0.53,30,0.0506951329621692,0.0345,2013-10-30,2013-11-12,13,1,1
2013-11-14,2014-03-31,0.147860933458067,0.0711,2014-01-09,2014-01-24,15,0.83,30,0.0692110084899458,0.0525,2013-12-27,2014-01-27,31,1,1
2014-03-31,2014-05-15,-0.0368872210085712,0.093,2014-04-08,2014-04-24,16,0.33,30,0.0139806202806495,0.0251,2014-04-21,2014-04-24,3,1,1
2014-05-15,2014-08-14,0.0829415811761414,0.0607,2014-07-02,2014-08-06,35,0.67,30,0.0848830195731951,0.0529,2014-07-14,2014-08-04,21,1,1
2014-08-14,2014-11-14,-0.060533078140382,0.1381,2014-08-29,2014-10-24,56,0.33,30,0.00838072491998119,0.0868,2014-08-29,2014-10-14,46,1,1
2014-11-14,2015-03-31,0.175582033901222,0.0357,2015-03-19,2015-03-24,5,0.73,30,0.0520670715782323,0.0533,2014-11-26,2014-12-16,20,1,1
2015-03-31,2015-05-15,0.0254457977047271,0.0472,2015-04-24,2015-05-08,14,0.5,30,0.0166901783288232,0.0404,2015-04-23,2015-05-14,21,1,1
2015-05-15,2015-08-14,-0.0490853640254976,0.1682,2015-06-01,2015-08-05,65,0.4,30,-0.100852427962552,0.1178,2015-05-26,2015-08-13,79,0,1
2015-08-14,2015-11-16,0.135767347407278,0.1382,2015-08-14,2015-08-21,7,0.6,30,0.0149294742626859,0.0873,2015-08-14,2015-08-21,7,1,1
2015-11-16,2016-03-31,0.0381252907664227,0.1408,2015-12-03,2016-01-14,42,0.7,30,0.0304730187851473,0.1113,2015-11-25,2016-01-14,50,1,1
2016-03-31,2016-05-16,-0.0397879102318732,0.0652,2016-04-18,2016-05-12,24,0.27,30,-0.0576605774896871,0.0815,2016-04-12,2016-05-12,30,0,1
2016-05-16,2016-08-15,0.115690775440053,0.0464,2016-06-03,2016-06-23,20,0.83,30,0.192093254774059,0.0292,2016-06-06,2016-06-24,18,1,1
