"年月日","分配後的漲跌幅","市場漲跌幅","投組累積報酬","市場累積報酬","投組累積報酬指數","市場累積報酬指數","cummax","dd","market_dd"
2013-04-01,0.0081,0.0018,0.0081,0.0018,1.0081,1.0018,1.0081,0,0
2013-04-02,-0.0138,-0.0118,-0.0058,-0.01,0.9942,0.99,1.0081,-0.0137883146513244,-0.0117787981633061
2013-04-03,-0.0078,-0.0083,-0.0136,-0.0182,0.9864,0.9818,1.0081,-0.0215256422973911,-0.0199640646835696
2013-04-08,0.0001,-0.0046,-0.0135,-0.0227,0.9865,0.9773,1.0081,-0.0214264457891081,-0.0244559792373729
2013-04-09,0.0018,0.0037,-0.0118,-0.0191,0.9882,0.9809,1.0081,-0.0197401051482988,-0.0208624475943302
2013-04-10,0.0077,0.0083,-0.0041,-0.0109,0.9959,0.9891,1.0081,-0.0121019740105148,-0.0126771810740667
2013-04-11,-0.0008,-0.0028,-0.0049,-0.0136,0.9951,0.9864,1.0081,-0.0128955460767781,-0.0153723298063485
2013-04-12,-0.0169,-0.0138,-0.0217,-0.0273,0.9783,0.9727,1.0081,-0.0295605594683067,-0.0290477141145937
2013-04-15,0.016,0.0093,-0.006,-0.0182,0.994,0.9818,1.0081,-0.0139867076678901,-0.0199640646835696
2013-04-16,0.0055,-0.0083,-0.0005,-0.0264,0.9995,0.9736,1.0081,-0.00853089971233012,-0.0281493312038331
2013-04-17,0.0067,0.0131,0.0061,-0.0136,1.0061,0.9864,1.0081,-0.00198393016565812,-0.0153723298063485
2013-04-18,0.0073,0.024,0.0134,0.01,1.0134,1.01,1.0134,0,0
2013-04-19,0.003,-0.0027,0.0165,0.0073,1.0165,1.0073,1.0165,0,-0.00267326732673256
2013-04-22,0.0046,-0.0009,0.0212,0.0064,1.0212,1.0064,1.0212,0,-0.00356435643564357
2013-04-23,0.0091,0.0018,0.0305,0.0082,1.0305,1.0082,1.0305,0,-0.00178217821782178
2013-04-24,-0.0026,0.0063,0.0278,0.0145,1.0278,1.0145,1.0305,-0.00262008733624441,0
2013-04-25,-0.0076,0.0018,0.02,0.0164,1.02,1.0164,1.0305,-0.0101892285298398,0
2013-04-26,-0.0014,0.0063,0.0185,0.0227,1.0185,1.0227,1.0305,-0.0116448326055313,0
2013-04-29,0.0025,0.0018,0.021,0.0245,1.021,1.0245,1.0305,-0.00921882581271238,0
2013-04-30,0.0087,0.0089,0.0299,0.0336,1.0299,1.0336,1.0305,-0.000582241630276537,0
2013-05-02,0.0041,0.0026,0.0342,0.0364,1.0342,1.0364,1.0342,0,0
2013-05-03,-0.0027,-0.0018,0.0313,0.0345,1.0313,1.0345,1.0342,-0.00280409978727514,-0.00183326900810499
2013-05-06,0.0008,0.0053,0.0322,0.04,1.0322,1.04,1.0342,-0.00193386192225875,0
2013-05-07,0.0077,0.0175,0.0402,0.0582,1.0402,1.0582,1.0402,0,0
2013-05-08,-0.0034,-0.0017,0.0366,0.0564,1.0366,1.0564,1.0402,-0.00346087290905595,-0.00170100170100174
2013-05-09,0.0019,-0.0034,0.0386,0.0527,1.0386,1.0527,1.0402,-0.00153816573735821,-0.00519750519750528
2013-05-10,0.0005,0.0017,0.0391,0.0545,1.0391,1.0545,1.0402,-0.0010574889444338,-0.00349650349650354
2013-05-13,0.0052,0.0017,0.0445,0.0564,1.0445,1.0564,1.0445,0,-0.00170100170100174
2013-05-14,0.0113,0.0069,0.0563,0.0636,1.0563,1.0636,1.0563,0,0
2013-05-15,0.0098,0.0017,0.0666,0.0655,1.0666,1.0655,1.0666,0,0
2013-05-16,0.0033,-0.0051,0.0701,0.06,1.0701,1.06,1.0701,0,-0.00516189582355708
2013-05-17,0.0037,0.0009,0.074,0.0609,1.074,1.0609,1.074,0,-0.00431722196152051
2013-05-20,0.0003,0.0051,0.0743,0.0664,1.0743,1.0664,1.0743,0,0
2013-05-21,-0.0097,-0.0128,0.0639,0.0527,1.0639,1.0527,1.0743,-0.00968072233082007,-0.0128469617404352
2013-05-22,-0.01,-0.0155,0.0533,0.0364,1.0533,1.0364,1.0743,-0.0195476123987715,-0.0281320330082521
