"證券代碼","公司名稱","買入時間","買入開盤價","賣出時間","賣出價格","單筆報酬","出現次數"
1109,"信大",2021-03-31,20.2487,2021-05-17,20.7701,0.0257,2
1109,"信大",2021-05-17,20.7701,2021-08-16,20.0955,-0.0325,2
1216,"統一",2015-08-14,42.9739,2015-11-16,40.72,-0.0524,4
1216,"統一",2016-05-16,45.4531,2016-08-15,48.4231,0.0653,4
1216,"統一",2019-05-15,66.768,2019-08-14,68.0084,0.0186,4
1216,"統一",2021-05-17,67.175,2021-08-16,64.865,-0.0344,4
1218,"泰山",2022-05-16,28.7915,2022-08-10,31.5,0.0941,1
1219,"福壽",2014-03-31,12.4343,2014-05-15,12.2744,-0.0129,1
1227,"佳格",2013-04-01,41.9184,2013-05-15,44.9788,0.073,11
1227,"佳格",2013-05-15,44.9788,2013-08-14,47.8589,0.064,11
1227,"佳格",2014-08-14,46.469,2014-11-14,40.9097,-0.1196,11
1227,"佳格",2015-05-15,47.2546,2015-08-14,55.4124,0.1726,11
1227,"佳格",2015-08-14,55.4124,2015-11-16,52.1349,-0.0591,11
1227,"佳格",2015-11-16,52.1349,2016-03-31,54.1661,0.039,11
1227,"佳格",2016-08-15,56.1296,2016-11-14,57.6239,0.0266,11
1227,"佳格",2019-05-15,46.7106,2019-08-14,49.7426,0.0649,11
1227,"佳格",2020-08-14,57.9811,2020-11-16,57.7984,-0.0032,11
1227,"佳格",2020-11-16,57.7984,2021-03-31,53.3243,-0.0774,11
1227,"佳格",2021-03-31,53.3243,2021-05-17,46.7501,-0.1233,11
1232,"大統益",2013-05-15,34.2366,2013-08-14,37.5686,0.0973,3
1232,"大統益",2014-05-15,50.1344,2014-08-14,48.9836,-0.023,3
1232,"大統益",2021-05-17,148.42,2021-08-16,149.812,0.0094,3
1235,"興泰",2018-11-14,22.9447,2019-04-01,22.7854,-0.0069,1
1256,"鮮活果汁-KY",2019-08-14,182.159,2019-11-14,194.815,0.0695,1
1262,"綠悅-KY",2016-11-14,141.426,2017-03-31,150.434,0.0637,1
1303,"南亞",2016-11-14,45.3269,2017-03-31,50.8511,0.1219,1
1310,"台苯",2013-11-14,13.5855,2014-03-31,10.9301,-0.1955,1
1323,"永裕",2016-11-14,26.5911,2017-03-31,25.0888,-0.0565,1
1340,"勝悅-KY",2016-03-31,49.1178,2016-05-16,44.7235,-0.0895,4
1340,"勝悅-KY",2016-08-15,44.5817,2016-11-14,39.9806,-0.1032,4
