"證券代碼","公司名稱","買入時間","買入開盤價","賣出時間","賣出價格","單筆報酬","出現次數"
1109,"信大",2021-03-31,20.2487,2021-05-17,20.7701,0.0257,2
1109,"信大",2021-05-17,20.7701,2021-08-16,20.0955,-0.0325,2
1220,"台榮",2021-05-17,14.0446,2021-08-16,14.2213,0.0126,1
1227,"佳格",2013-04-01,41.9184,2013-05-15,44.9788,0.073,9
1227,"佳格",2013-05-15,44.9788,2013-08-14,47.8589,0.064,9
1227,"佳格",2014-08-14,46.469,2014-11-14,40.9097,-0.1196,9
1227,"佳格",2015-05-15,47.2546,2015-08-14,55.4124,0.1726,9
1227,"佳格",2015-08-14,55.4124,2015-11-16,52.1349,-0.0591,9
1227,"佳格",2016-08-15,56.1296,2016-11-14,57.6239,0.0266,9
1227,"佳格",2019-05-15,46.7106,2019-08-14,49.7426,0.0649,9
1227,"佳格",2020-08-14,57.9811,2020-11-16,57.7984,-0.0032,9
1227,"佳格",2020-11-16,57.7984,2021-03-31,53.3243,-0.0774,9
1229,"聯華",2016-11-14,11.0297,2017-03-31,12.9821,0.177,1
1232,"大統益",2013-05-15,34.2366,2013-08-14,37.5686,0.0973,3
1232,"大統益",2014-05-15,50.1344,2014-08-14,48.9836,-0.023,3
1232,"大統益",2021-05-17,148.42,2021-08-16,149.812,0.0094,3
1235,"興泰",2018-11-14,22.9447,2019-04-01,22.7854,-0.0069,1
1262,"綠悅-KY",2016-05-16,129.716,2016-08-15,125.798,-0.0302,2
1262,"綠悅-KY",2016-11-14,141.426,2017-03-31,150.434,0.0637,2
1310,"台苯",2018-11-14,19.6175,2019-04-01,21.0909,0.0751,2
1310,"台苯",2019-05-15,20.8383,2019-08-14,20.5436,-0.0141,2
1312,"國喬",2016-11-14,15.5541,2017-03-31,17.711,0.1387,1
1325,"恒大",2021-03-31,76.6498,2021-05-17,86.6825,0.1309,1
1340,"勝悅-KY",2015-03-31,59.8737,2015-05-15,49.6021,-0.1716,6
1340,"勝悅-KY",2015-11-16,50.6062,2016-03-31,49.1178,-0.0294,6
1340,"勝悅-KY",2016-03-31,49.1178,2016-05-16,44.7235,-0.0895,6
1340,"勝悅-KY",2016-08-15,44.5817,2016-11-14,39.9806,-0.1032,6
1340,"勝悅-KY",2017-08-14,40.3408,2017-11-14,39.1075,-0.0306,6
1340,"勝悅-KY",2018-03-31,37.2858,2018-05-15,35.2211,-0.0554,6
