"開始日期","結束日期","期間總報酬","投組最大回落","投組回落開始時間","投組回落結束時間","投組回落持續天數","勝率","投資股票數量","市場期間總報酬","市場最大回落","市場回落開始時間","市場回落結束時間","市場回落持續天數","市場勝率","市場標的數"
2013-04-01,2013-05-15,0.035192936905862,0.0248,2013-04-01,2013-04-12,11,0.7,30,0.0617057411130849,0.029,2013-04-01,2013-04-12,11,1,1
2013-05-15,2013-08-14,0.0747057546622201,0.0435,2013-05-31,2013-06-19,19,0.7,30,-0.0639947871735104,0.0912,2013-05-20,2013-06-21,32,0,1
2013-08-14,2013-11-14,0.100886447858612,0.0312,2013-10-03,2013-10-11,8,0.67,30,0.0506951329621692,0.0345,2013-10-30,2013-11-12,13,1,1
2013-11-14,2014-03-31,0.201842571407935,0.0669,2014-01-09,2014-01-24,15,0.9,30,0.0692110084899458,0.0525,2013-12-27,2014-01-27,31,1,1
2014-03-31,2014-05-15,-0.0387790255333426,0.0875,2014-04-08,2014-04-24,16,0.37,30,0.0139806202806495,0.0251,2014-04-21,2014-04-24,3,1,1
2014-05-15,2014-08-14,0.0633374903535485,0.0822,2014-07-02,2014-08-06,35,0.63,30,0.0848830195731951,0.0529,2014-07-14,2014-08-04,21,1,1
2014-08-14,2014-11-14,-0.0582511105581315,0.1362,2014-08-29,2014-10-24,56,0.37,30,0.00838072491998119,0.0868,2014-08-29,2014-10-14,46,1,1
2014-11-14,2015-03-31,0.160832995494918,0.0366,2015-03-19,2015-03-24,5,0.73,30,0.0520670715782323,0.0533,2014-11-26,2014-12-16,20,1,1
2015-03-31,2015-05-15,-0.00170192734184104,0.0541,2015-04-24,2015-05-08,14,0.43,30,0.0166901783288232,0.0404,2015-04-23,2015-05-14,21,1,1
2015-05-15,2015-08-14,-0.0509967302844196,0.1836,2015-06-01,2015-08-05,65,0.33,30,-0.100852427962552,0.1178,2015-05-26,2015-08-13,79,0,1
2015-08-14,2015-11-16,0.12795568637134,0.1467,2015-08-14,2015-08-21,7,0.6,30,0.0149294742626859,0.0873,2015-08-14,2015-08-21,7,1,1
2015-11-16,2016-03-31,0.0438470484681836,0.1453,2015-12-03,2016-01-14,42,0.67,30,0.0304730187851473,0.1113,2015-11-25,2016-01-14,50,1,1
2016-03-31,2016-05-16,-0.0577885333695983,0.0811,2016-04-18,2016-05-12,24,0.17,30,-0.0576605774896871,0.0815,2016-04-12,2016-05-12,30,0,1
2016-05-16,2016-08-15,0.0746605696393522,0.0485,2016-06-03,2016-06-23,20,0.76,30,0.192093254774059,0.0292,2016-06-06,2016-06-24,18,1,1
2016-08-15,2016-11-14,-0.0710271652157062,0.1057,2016-09-06,2016-11-11,66,0.23,30,-0.00143027078505053,0.046,2016-09-06,2016-09-12,6,0,1
2016-11-14,2017-03-31,0.216780549102542,0.0384,2017-03-22,2017-03-27,5,0.93,30,0.0784302747718972,0.0368,2016-12-08,2016-12-21,13,1,1
2017-03-31,2017-05-15,0.00152190378022728,0.0439,2017-04-07,2017-04-13,6,0.47,30,0.0227273456320829,0.0301,2017-03-31,2017-04-18,18,1,1
2017-05-15,2017-08-14,0.0623838948119629,0.048,2017-08-04,2017-08-09,5,0.53,30,0.0746924829515341,0.0265,2017-08-04,2017-08-09,5,1,1
2017-08-14,2017-11-14,0.0983457309007199,0.0533,2017-08-29,2017-09-25,27,0.72,30,0.0326564774274682,0.0336,2017-09-07,2017-09-27,20,1,1
2017-11-14,2018-03-31,0.0929149556479363,0.1151,2018-01-26,2018-02-07,12,0.67,30,0.0202513786987827,0.0843,2018-01-19,2018-02-07,19,1,1
2018-03-31,2018-05-15,-0.0199527676072156,0.0536,2018-04-03,2018-04-23,20,0.3,30,-0.000613228083854151,0.0542,2018-04-10,2018-05-02,22,0,1
2018-05-15,2018-08-14,-0.0184751791406821,0.0765,2018-06-11,2018-07-04,23,0.5,30,0.0397145679040293,0.0413,2018-06-05,2018-06-26,21,1,1
2018-08-14,2018-11-14,-0.107472050755058,0.2115,2018-08-30,2018-10-26,57,0.17,30,-0.0690688823964143,0.1401,2018-08-28,2018-10-23,56,0,1
2018-11-14,2019-04-01,0.160263408882289,0.076,2018-11-30,2019-01-02,33,0.8,30,0.0594354319974972,0.0726,2018-11-30,2019-01-02,33,1,1
2019-04-01,2019-05-15,-0.0649276450032433,0.0886,2019-04-01,2019-05-10,39,0.34,30,-0.0111944284515231,0.0468,2019-04-22,2019-05-14,22,0,1
2019-05-15,2019-08-14,0.0220785123296063,0.0679,2019-07-26,2019-08-02,7,0.53,30,0.00472966147353375,0.0609,2019-07-22,2019-08-02,11,1,1
2019-08-14,2019-11-14,0.0808501453117945,0.0449,2019-09-03,2019-09-12,9,0.73,30,0.157960822308343,0.0177,2019-11-05,2019-11-11,6,1,1
2019-11-14,2020-03-31,-0.124638091091023,0.2921,2020-01-15,2020-03-19,64,0.16,30,-0.146101632903416,0.2573,2020-01-13,2020-03-19,66,0,1
2020-03-31,2020-05-15,0.23760914175553,0.0438,2020-05-06,2020-05-07,1,0.77,30,0.0792725197321715,0.039,2020-04-16,2020-04-20,4,1,1
2020-05-15,2020-08-14,0.153532984572202,0.074,2020-07-08,2020-07-27,19,0.83,30,0.247148187633263,0.0438,2020-07-24,2020-07-31,7,1,1
2020-08-14,2020-11-16,0.0159793447014346,0.0626,2020-09-01,2020-09-24,23,0.47,30,0.0879864619186119,0.0544,2020-09-14,2020-09-23,9,1,1
2020-11-16,2021-03-31,0.348900981391863,0.0591,2021-01-13,2021-01-28,15,0.93,30,0.220581902604332,0.0747,2021-02-05,2021-03-03,26,1,1
2021-03-31,2021-05-17,-0.102481885055859,0.1786,2021-04-27,2021-05-13,16,0.2,30,-0.0719429874400793,0.1136,2021-04-26,2021-05-13,17,0,1
2021-05-17,2021-08-16,-0.00290858296953753,0.063,2021-06-23,2021-08-13,51,0.4,30,0.0268221253011285,0.0369,2021-07-13,2021-08-13,31,1,1
2021-08-16,2021-11-15,0.141615419155291,0.1653,2021-08-31,2021-10-01,31,0.47,30,0.0550137922996239,0.0756,2021-09-03,2021-10-01,28,1,1
2021-11-15,2022-03-31,-0.0275866747725644,0.1216,2021-12-29,2022-03-04,65,0.47,30,-0.0120635060574669,0.1124,2022-01-14,2022-03-07,52,0,1
