"證券代碼","公司名稱","買入時間","買入開盤價","賣出時間","賣出價格","單筆報酬","出現次數"
1109,"信大",2021-03-31,20.2487,2022-03-31,19.5873,-0.0327,1
1227,"佳格",2013-04-01,41.9184,2014-03-31,45.1396,0.0768,1
1325,"恒大",2021-03-31,76.6498,2022-03-31,42.6667,-0.4434,1
1340,"勝悅-KY",2015-03-31,59.8737,2016-03-31,49.1178,-0.1796,3
1340,"勝悅-KY",2016-03-31,49.1178,2017-03-31,39.6204,-0.1934,3
1340,"勝悅-KY",2018-03-31,37.2858,2019-04-01,16.1351,-0.5673,3
1452,"宏益",2022-03-31,22.3698,2022-08-10,18.5,-0.173,1
1463,"強盛",2018-03-31,17.4477,2019-04-01,12.995,-0.2552,1
1476,"儒鴻",2019-04-01,369.202,2020-03-31,221.643,-0.3997,2
1476,"儒鴻",2021-03-31,457.388,2022-03-31,455.273,-0.0046,2
1517,"利奇",2017-03-31,10.5561,2018-03-31,9.9542,-0.057,1
1537,"廣隆",2016-03-31,97.8708,2017-03-31,114.018,0.165,1
1565,"精華",2017-03-31,487.065,2018-03-31,696.225,0.4294,1
1720,"生達",2020-03-31,30.0922,2021-03-31,35.3417,0.1744,1
1723,"中碳",2013-04-01,96.3466,2014-03-31,120.093,0.2465,2
1723,"中碳",2014-03-31,120.093,2015-03-31,106.292,-0.1149,2
1733,"五鼎",2013-04-01,48.452,2014-03-31,44.9157,-0.073,1
1760,"寶齡富錦",2019-04-01,101.093,2020-03-31,69.2685,-0.3148,1
1783,"和康生",2021-03-31,31.5379,2022-03-31,43.55,0.3809,1
1784,"訊聯",2019-04-01,34.3221,2020-03-31,27.6016,-0.1958,1
1789,"神隆",2013-04-01,51.5958,2014-03-31,61.9366,0.2004,1
2015,"豐興",2016-03-31,28.036,2017-03-31,36.6897,0.3087,1
2059,"川湖",2013-04-01,189.521,2014-03-31,349.726,0.8453,4
2059,"川湖",2014-03-31,349.726,2015-03-31,408.455,0.1679,4
2059,"川湖",2015-03-31,408.455,2016-03-31,328.056,-0.1968,4
2059,"川湖",2019-04-01,323.422,2020-03-31,280.462,-0.1328,4
2062,"橋椿",2021-03-31,30.209,2022-03-31,27.05,-0.1046,1
2107,"厚生",2013-04-01,13.4951,2014-03-31,19.1782,0.4211,2
2107,"厚生",2022-03-31,21.2675,2022-08-10,21.45,0.0086,2
2108,"南帝",2018-03-31,17.5973,2019-04-01,26.1122,0.4839,2
2108,"南帝",2019-04-01,26.1122,2020-03-31,22.3956,-0.1423,2
2114,"鑫永銓",2021-03-31,104.322,2022-03-31,120.865,0.1586,1
2231,"為升",2015-03-31,179.239,2016-03-31,228.355,0.274,2
2231,"為升",2016-03-31,228.355,2017-03-31,172.439,-0.2449,2
2330,"台積電",2019-04-01,225.026,2020-03-31,264.054,0.1734,1
2373,"震旦行",2013-04-01,39.8384,2014-03-31,42.9602,0.0784,1
2376,"技嘉",2020-03-31,41.0597,2021-03-31,83.1494,1.0251,1
2377,"微星",2020-03-31,83.4772,2021-03-31,165.336,0.9806,1
2395,"研華",2013-04-01,72.854,2014-03-31,118.464,0.626,2
2395,"研華",2016-03-31,161.78,2017-03-31,181.17,0.1199,2
2397,"友通",2015-03-31,24.2268,2016-03-31,31.7834,0.3119,3
2397,"友通",2016-03-31,31.7834,2017-03-31,38.5201,0.212,3
2397,"友通",2017-03-31,38.5201,2018-03-31,48.5281,0.2598,3
2423,"固緯",2019-04-01,22.549,2020-03-31,18.1667,-0.1943,1
2451,"創見",2014-03-31,54.2407,2015-03-31,64.3433,0.1863,6
2451,"創見",2015-03-31,64.3433,2016-03-31,61.4864,-0.0444,6
2451,"創見",2016-03-31,61.4864,2017-03-31,66.7181,0.0851,6
2451,"創見",2017-03-31,66.7181,2018-03-31,61.3181,-0.0809,6
2451,"創見",2018-03-31,61.3181,2019-04-01,53.3574,-0.1298,6
2451,"創見",2022-03-31,67.5183,2022-08-10,65.9,-0.024,6
2458,"義隆",2015-03-31,41.8547,2016-03-31,33.6002,-0.1972,3
2458,"義隆",2021-03-31,165.34,2022-03-31,150.864,-0.0876,3
2458,"義隆",2022-03-31,150.864,2022-08-10,98.5,-0.3471,3
2468,"華經",2020-03-31,12.2061,2021-03-31,13.1847,0.0802,1
2471,"資通",2019-04-01,12.475,2020-03-31,15.116,0.2117,2
2471,"資通",2020-03-31,15.116,2021-03-31,26.0569,0.7238,2
2480,"敦陽科",2013-04-01,15.0341,2014-03-31,20.4385,0.3595,1
2491,"吉祥全",2022-03-31,19.5951,2022-08-10,15.5,-0.209,1
2493,"揚博",2019-04-01,21.708,2020-03-31,21.6448,-0.0029,1
2495,"普安",2017-03-31,13.8186,2018-03-31,11.3456,-0.179,1
2915,"潤泰全",2020-03-31,45.7658,2021-03-31,55.3983,0.2105,1
2929,"淘帝-KY",2016-03-31,60.216,2017-03-31,60.5256,0.0051,1
3003,"健和興",2016-03-31,33.7578,2017-03-31,36.5503,0.0827,1
3006,"晶豪科",2022-03-31,142.401,2022-08-10,78,-0.4523,1
3008,"大立光",2013-04-01,630.905,2014-03-31,1214.96,0.9257,6
3008,"大立光",2014-03-31,1214.96,2015-03-31,2284.83,0.8806,6
3008,"大立光",2015-03-31,2284.83,2016-03-31,2152.36,-0.058,6
3008,"大立光",2016-03-31,2152.36,2017-03-31,4229.2,0.9649,6
3008,"大立光",2017-03-31,4229.2,2018-03-31,2955.56,-0.3012,6
3008,"大立光",2021-03-31,3044.78,2022-03-31,1870,-0.3858,6
3014,"聯陽",2013-04-01,14.6205,2014-03-31,17.1036,0.1698,8
