"年月日","分配後的漲跌幅","市場漲跌幅","投組累積報酬","市場累積報酬","投組累積報酬指數","市場累積報酬指數","cummax","dd","market_dd","年","annual_return"
2013-04-01,0.0049,0.0018,0.0049,0.0018,1.0049,1.0018,1.0049,0,0,2013,0.0048999999999999
2013-04-02,-0.0122,-0.0118,-0.0074,-0.01,0.9926,0.99,1.0049,-0.0122400238829733,-0.0117787981633061,2013,-0.00735978000000004
2013-04-03,-0.007,-0.0083,-0.0143,-0.0182,0.9857,0.9818,1.0049,-0.0191063787441536,-0.0199640646835696,2013,-0.0143082615400001
2013-04-08,-0.0035,-0.0046,-0.0177,-0.0227,0.9823,0.9773,1.0049,-0.0224897999800975,-0.0244559792373729,2013,-0.01775818262461
2013-04-09,0.0052,0.0037,-0.0126,-0.0191,0.9874,0.9809,1.0049,-0.0174146681261815,-0.0208624475943302,2013,-0.0126505251742579
2013-04-10,0.012,0.0083,-8e-04,-0.0109,0.9992,0.9891,1.0049,-0.00567220618967057,-0.0126771810740667,2013,-0.000802331476349005
2013-04-11,-0.0027,-0.0028,-0.0035,-0.0136,0.9965,0.9864,1.0049,-0.00835904070056703,-0.0153723298063485,2013,-0.00350016518136287
2013-04-12,-0.017,-0.0138,-0.0205,-0.0273,0.9795,0.9727,1.0049,-0.0252761468802865,-0.0290477141145937,2013,-0.0204406623732798
2013-04-15,0.0202,0.0093,-7e-04,-0.0182,0.9993,0.9818,1.0049,-0.00557269380037806,-0.0199640646835696,2013,-0.00065356375322001
2013-04-16,0.0017,-0.0083,0.001,-0.0264,1.001,0.9736,1.0049,-0.00388098318240626,-0.0281493312038331,2013,0.0010453251883995
2013-04-17,0.0075,0.0131,0.0085,-0.0136,1.0085,0.9864,1.0085,0,-0.0153723298063485,2013,0.00855316512731252
2013-04-18,0.0046,0.024,0.0131,0.01,1.0131,1.01,1.0131,0,0,2013,0.0131925096868981
2013-04-19,0.0013,-0.0027,0.0144,0.0073,1.0144,1.0073,1.0144,0,-0.00267326732673256,2013,0.0145096599494912
2013-04-22,0.0062,-9e-04,0.0207,0.0064,1.0207,1.0064,1.0207,0,-0.00356435643564357,2013,0.0207996198411782
2013-04-23,0.0026,0.0018,0.0233,0.0082,1.0233,1.0082,1.0233,0,-0.00178217821782178,2013,0.0234536988527652
2013-04-24,-0.002,0.0063,0.0213,0.0145,1.0213,1.0145,1.0233,-0.00195446105736341,0,2013,0.0214067914550595
2013-04-25,-0.0062,0.0018,0.0149,0.0164,1.0149,1.0164,1.0233,-0.00820873644092657,0,2013,0.0150740693480382
2013-04-26,-0.0019,0.0063,0.0131,0.0227,1.0131,1.0227,1.0233,-0.00996775139255346,0,2013,0.0131454286162769
2013-04-29,0.0052,0.0018,0.0183,0.0245,1.0183,1.0245,1.0233,-0.00488615264340875,0,2013,0.0184137848450816
2013-04-30,0.009,0.0089,0.0275,0.0336,1.0275,1.0336,1.0275,0,0,2013,0.0275795089086872
2013-05-02,0.0023,0.0026,0.0299,0.0364,1.0299,1.0364,1.0299,0,0,2013,0.0299429417791772
2013-05-03,-0.004,-0.0018,0.0257,0.0345,1.0257,1.0345,1.0299,-0.00407806583163417,-0.00183326900810499,2013,0.0258231700120606
2013-05-06,-0.0015,0.0053,0.0242,0.04,1.0242,1.04,1.0299,-0.00553451791436066,0,2013,0.0242844352570424
2013-05-07,0.0093,0.0175,0.0337,0.0582,1.0337,1.0582,1.0337,0,0,2013,0.033810280504933
2013-05-08,-7e-04,-0.0017,0.033,0.0564,1.033,1.0564,1.0337,-0.000677179065493028,-0.00170100170100174,2013,0.0330866133085796
2013-05-09,9e-04,-0.0034,0.0339,0.0527,1.0339,1.0527,1.0339,0,-0.00519750519750528,2013,0.0340163912605571
2013-05-10,-0.0054,0.0017,0.0284,0.0545,1.0284,1.0545,1.0339,-0.00531966341038792,-0.00349650349650354,2013,0.0284327027477502
2013-05-13,0.0048,0.0017,0.0333,0.0564,1.0333,1.0564,1.0339,-0.000580326917496765,-0.00170100170100174,2013,0.0333691797209392
2013-05-14,0.0073,0.0069,0.0409,0.0636,1.0409,1.0636,1.0409,0,0,2013,0.0409127747329023
2013-05-15,0.0096,0.0017,0.0508,0.0655,1.0508,1.0655,1.0508,0,0,2013,0.0509055373703382
2013-05-16,-3e-04,-0.0051,0.0505,0.06,1.0505,1.06,1.0508,-0.000285496764369952,-0.00516189582355708,2013,0.0505902657091271
2013-05-17,-9e-04,9e-04,0.0496,0.0609,1.0496,1.0609,1.0508,-0.00114198705747992,-0.00431722196152051,2013,0.0496447344699888
2013-05-20,0.0037,0.0051,0.0535,0.0664,1.0535,1.0664,1.0535,0,0,2013,0.0535284199875279
2013-05-21,-0.0054,-0.0128,0.0478,0.0527,1.0478,1.0527,1.0535,-0.00541053630754629,-0.0128469617404352,2013,0.0478393665195953
2013-05-22,-0.0091,-0.0155,0.0383,0.0364,1.0383,1.0364,1.0535,-0.0144280968201235,-0.0281320330082521,2013,0.038304028284267
2013-05-23,-0.0073,-0.0035,0.0306,0.0327,1.0306,1.0327,1.0535,-0.0217370669197913,-0.0316016504126032,2013,0.0307244088777918
2013-05-24,0.0055,0.0106,0.0363,0.0436,1.0363,1.0436,1.0535,-0.016326530612245,-0.0213803450862715,2013,0.0363933931266198
2013-05-27,0.0083,-9e-04,0.0449,0.0427,1.0449,1.0427,1.0535,-0.00816326530612266,-0.0222243060765192,2013,0.0449954582895706
2013-05-28,0.0032,9e-04,0.0482,0.0436,1.0482,1.0436,1.0535,-0.00503084954912203,-0.0213803450862715,2013,0.0483394437560973
2013-05-29,0.0045,0.0017,0.053,0.0455,1.053,1.0455,1.0535,-0.000474608448030489,-0.0195986496624155,2013,0.0530569712529998
2013-05-30,-0.008,-0.0183,0.0446,0.0264,1.0446,1.0264,1.0535,-0.0084480303749408,-0.0375093773443361,2013,0.0446325154829759
2013-05-31,0.0166,0.0044,0.0619,0.0309,1.0619,1.0309,1.0619,0,-0.0332895723930984,2013,0.0619734152399931
2013-06-03,-0.0066,-0.0026,0.0548,0.0282,1.0548,1.0282,1.0619,-0.0066861286373483,-0.035821455363841,2013,0.0549643906994091
2013-06-04,-0.0012,-0.0062,0.0536,0.0218,1.0536,1.0218,1.0619,-0.00781617854788585,-0.0418229557389347,2013,0.0536984334305699
2013-06-05,0.001,-0.0044,0.0546,0.0173,1.0546,1.0173,1.0619,-0.00687447028910448,-0.0460427606901724,2013,0.0547521318640003
2013-06-06,-0.0127,0.0107,0.0412,0.0282,1.0412,1.0282,1.0619,-0.0194933609567758,-0.035821455363841,2013,0.0413567797893275
2013-06-07,0.0066,0,0.0481,0.0282,1.0481,1.0282,1.0619,-0.0129955739711838,-0.035821455363841,2013,0.048229734535937
2013-06-10,-0.0125,-0.0115,0.0349,0.0164,1.0349,1.0164,1.0619,-0.0254261229870987,-0.0468867216804202,2013,0.0351268628542378
2013-06-11,-0.0021,-0.0134,0.0328,0.0027,1.0328,1.0027,1.0619,-0.0274037103305397,-0.0597336834208553,2013,0.032953096442244
2013-06-13,-0.0074,-0.0054,0.0252,-0.0027,1.0252,0.9973,1.0619,-0.0345606930972786,-0.0647974493623407,2013,0.0253092435285713
2013-06-14,0.0138,0.0055,0.0393,0.0027,1.0393,1.0027,1.0619,-0.0212826066484605,-0.0597336834208553,2013,0.0394585110892656
2013-06-17,0.0074,0.0063,0.047,0.0091,1.047,1.0091,1.0619,-0.0140314530558434,-0.0537321830457613,2013,0.0471505040713263
2013-06-18,-0.0093,-0.009,0.0373,0,1.0373,1,1.0619,-0.0231660231660231,-0.0622655663915979,2013,0.0374120043834629
2013-06-19,-0.019,-0.0164,0.0176,-0.0164,1.0176,0.9836,1.0619,-0.0417176758640173,-0.0776444111027756,2013,0.0177011763001771
2013-06-20,0.0097,-0.0129,0.0275,-0.0291,1.0275,0.9709,1.0619,-0.0323947641020812,-0.0895536384096024,2013,0.0275728777102888
2013-06-21,-6e-04,-0.0019,0.0269,-0.0309,1.0269,0.9691,1.0619,-0.0329597890573502,-0.0912415603900976,2013,0.0269563339836627
2013-06-24,-0.0032,0.0056,0.0236,-0.0255,1.0236,0.9745,1.0619,-0.0360674263113288,-0.0861777944486122,2013,0.0236700737149149
2013-06-25,0.0057,0.0084,0.0294,-0.0173,1.0294,0.9827,1.0619,-0.0306055184103964,-0.0784883720930233,2013,0.0295049931350901
2013-06-26,0.0125,0.0065,0.0422,-0.0109,1.0422,0.9891,1.0619,-0.0185516526979942,-0.0724868717179296,2013,0.0423738055492786
2013-06-27,0.0013,0.0074,0.0435,-0.0036,1.0435,0.9964,1.0619,-0.0173274319615783,-0.0656414103525882,2013,0.0437288914964928
2013-06-28,0.0174,0.0155,0.0617,0.0118,1.0617,1.0118,1.0619,-0.000188341651756296,-0.0512003000750187,2013,0.0618897742085318
