"開始日期","結束日期","期間總報酬","投組最大回落","投組回落開始時間","投組回落結束時間","投組回落持續天數","勝率","投資股票數量","市場期間總報酬","市場最大回落","市場回落開始時間","市場回落結束時間","市場回落持續天數","市場勝率","市場標的數"
2013-04-01,2014-03-31,0.303108870446656,0.0504,2014-03-14,2014-03-20,6,0.73,30,0.119204716262908,0.0912,2013-05-20,2013-06-21,32,1,1
2014-03-31,2015-03-31,0.0407633096337149,0.23,2014-07-03,2014-10-24,113,0.55,30,0.157515852696849,0.0868,2014-08-29,2014-10-14,46,1,1
2015-03-31,2016-03-31,-0.0463499809459213,0.3195,2015-06-01,2015-08-21,81,0.33,30,-0.0383029170590446,0.2123,2015-04-23,2015-08-21,120,0,1
2016-03-31,2017-03-31,0.126561606604062,0.1078,2016-09-20,2016-11-11,52,0.8,30,0.210750343743861,0.0815,2016-04-12,2016-05-12,30,1,1
2017-03-31,2018-03-31,0.0545952243282646,0.1347,2017-10-31,2018-02-07,99,0.57,30,0.145958638476417,0.0843,2018-01-19,2018-02-07,19,1,1
2018-03-31,2019-04-01,0.0344652728601135,0.2202,2018-06-11,2018-11-09,151,0.41,30,0.0217361611068256,0.1708,2018-08-28,2019-01-02,127,1,1
2019-04-01,2020-03-31,-0.0513449993590639,0.2764,2020-01-15,2020-03-19,64,0.27,30,-0.00920637342970644,0.2573,2020-01-13,2020-03-19,66,0,1
2020-03-31,2021-03-31,0.548789703003256,0.1416,2020-07-08,2020-07-27,19,0.93,30,0.815011762740649,0.0747,2021-02-05,2021-03-03,26,1,1
2021-03-31,2022-03-31,0.050910261242385,0.167,2021-08-02,2021-10-01,60,0.57,30,0.011950362348833,0.1124,2022-01-14,2022-03-07,52,1,1
2022-03-31,2022-08-10,-0.178233091998666,0.2456,2022-03-31,2022-07-12,103,0.13,30,-0.100208799627465,0.1937,2022-04-12,2022-07-05,84,0,1
